                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.1446,                0.92609,                 1.1919,                0.78783,                0.70027,                0.78122,                0.48181,                 1.3906,                 1.1113,                 1.2976,              0.0007328,              0.0007328,              0.0007328
                     35,                 1.1295,                0.91346,                 1.1852,                0.77138,                0.74283,                0.79314,                0.48602,                 1.3235,                 1.1328,                  1.271,              0.0006932,              0.0006932,              0.0006932
                     36,                 1.1219,                0.87913,                 1.1695,                0.80447,                0.70822,                0.80246,                0.50978,                   1.34,                 1.0289,                  1.265,              0.0006536,              0.0006536,              0.0006536
                     37,                 1.1165,                0.89152,                 1.1656,                0.82654,                0.68253,                0.79682,                0.49784,                 1.3293,                 1.0725,                 1.2668,               0.000614,               0.000614,               0.000614
                     38,                 1.0902,                0.86438,                  1.163,                0.77994,                0.72149,                0.79925,                0.49814,                 1.3631,                 1.0481,                 1.2871,              0.0005744,              0.0005744,              0.0005744
                     39,                 1.0864,                0.83538,                 1.1657,                 0.8409,                0.65517,                0.79879,                 0.4908,                   1.33,                 1.0867,                 1.2735,              0.0005348,              0.0005348,              0.0005348
                     40,                 1.0692,                0.83717,                 1.1506,                0.77985,                0.72679,                0.80707,                 0.5138,                  1.356,                   1.09,                 1.2738,              0.0004952,              0.0004952,              0.0004952
                     41,                 1.0394,                0.84171,                 1.1192,                0.78889,                 0.6641,                0.77376,                0.47917,                 1.3582,                 1.1675,                 1.2781,              0.0004556,              0.0004556,              0.0004556
                     42,                0.99003,                 0.7741,                 1.0978,                0.78868,                0.70557,                0.79783,                0.50241,                 1.3525,                 1.1409,                 1.3246,               0.000416,               0.000416,               0.000416
                     43,                0.96225,                0.76144,                  1.087,                0.78356,                  0.749,                0.81522,                0.51785,                 1.3481,                 1.0388,                 1.2996,              0.0003764,              0.0003764,              0.0003764
                     44,                0.96446,                0.71719,                 1.0719,                0.80822,                0.75332,                0.82639,                0.52575,                 1.3151,                 1.0239,                 1.2872,              0.0003368,              0.0003368,              0.0003368
                     45,                0.94626,                0.70239,                 1.0801,                0.78136,                 0.7394,                0.81773,                0.51561,                 1.3157,                 1.0206,                 1.2624,              0.0002972,              0.0002972,              0.0002972
                     46,                0.94474,                0.69687,                 1.0712,                0.78552,                0.73475,                0.80921,                0.51446,                 1.3021,                  1.016,                 1.2453,              0.0002576,              0.0002576,              0.0002576
                     47,                0.92271,                0.66481,                 1.0569,                0.84572,                0.69793,                0.82325,                0.52849,                   1.29,                0.99015,                 1.2362,               0.000218,               0.000218,               0.000218
                     48,                0.89861,                0.65472,                 1.0573,                0.79864,                0.76923,                 0.8212,                0.52488,                 1.2945,                0.99529,                 1.2539,              0.0001784,              0.0001784,              0.0001784
                     49,                0.90027,                0.64383,                 1.0506,                0.81775,                0.74984,                 0.8249,                0.53478,                 1.2895,                0.97509,                   1.26,              0.0001388,              0.0001388,              0.0001388
                     50,                0.88094,                0.62936,                 1.0293,                0.80566,                0.73676,                0.81994,                0.53017,                 1.2828,                0.97941,                  1.252,               9.92e-05,               9.92e-05,               9.92e-05
